maxpool_timescale_train,f1_mean,f1_median,f1_std
"32,512,2048,4096",0.7956927009188801,0.7956665663557027,0.002001389715369183
"32,512,1024",0.7954626173577943,0.7955701885662975,0.0028401790550505357
"32,512,1024,2048",0.7955108149634867,0.795398969125166,0.0028818048284925545
"32,2048",0.7950219372010285,0.7948604342046965,0.002573725829649383
"32,1024",0.7945132037903544,0.7947000785237159,0.0029112560154124843
"32,2048,4096",0.7942514860038159,0.794495961711038,0.0032471870070455706
"32,512,4096",0.7947210525944414,0.7944444444444444,0.003802096729823985
"32,1024,2048",0.7942696929026879,0.7941333321382796,0.0034447932134008393
"32,512,2048",0.7941409161070621,0.7940959409594096,0.002875430441026885
"32,1024,2048,4096",0.7937632547941027,0.7940589922979434,0.0026874305937016306
"32,256,1024,2048",0.7941130676236196,0.7940552016985138,0.0029730474313282873
"32,4096",0.7942579779578025,0.7940520446096654,0.003664099853579968
"32,512",0.7943839676992678,0.794016454749439,0.0031341558322740444
"32,512,1024,4096",0.7940566829455388,0.7940161104718066,0.0026510474558469766
32,0.7943472992747901,0.7938986501687637,0.0030036605881407054
"32,1024,4096",0.7939294172881739,0.7938003870650692,0.0029918595292858017
"32,256,512,4096",0.7933473854738654,0.793619511125895,0.0026611350997109043
"32,256,512,1024",0.7932711570189809,0.7935232949279831,0.0033203206907481105
"32,256",0.7930453665327541,0.793393082502152,0.003290574992668331
"32,256,512",0.7932130025131628,0.793102150679886,0.0026565262349219194
"32,256,1024,4096",0.7930792519650343,0.7930890344154939,0.002668442580427819
"32,256,512,2048",0.7935524005839591,0.7928087649712612,0.0029999027854878814
"32,256,2048",0.7925923936080728,0.7927619417735496,0.002814751305785457
"32,256,2048,4096",0.7923919138469683,0.7924928873296286,0.003159796249518031
"32,256,4096",0.7918186455903271,0.7921231862599941,0.0027880147008354835
"32,256,1024",0.7916837437761334,0.7917752678830003,0.002541658949575669
